1,1,6
2,1,7
3,1,35
4,1,36
5,2,50
6,2,51
7,2,52
8,3,6
9,3,7
10,3,8
11,4,6
12,4,7
13,4,8
14,5,3
15,5,4
16,5,41
17,6,2
18,6,3
19,6,4
20,7,6
21,7,7
22,7,8
23,8,35
24,8,36
25,9,8
26,9,9
27,9,51
28,9,52
29,10,51
30,10,52
31,11,66
32,11,67
33,11,68
34,12,71
35,12,72
36,12,73
37,13,54
38,13,55
39,14,2
40,14,3
41,14,4
42,15,6
43,15,7
44,15,35
45,15,36
46,16,50
47,16,51
48,16,52
49,17,6
50,17,7
51,17,8
52,18,54
53,18,55
54,18,56
55,19,24
56,19,25
57,20,66
58,20,67
59,20,68
60,21,54
61,21,55
62,22,6
63,22,7
64,22,35
65,22,36
66,23,50
67,23,51
68,23,52
69,24,6
70,24,7
71,24,8
72,25,6
73,25,7
74,25,8
75,26,3
76,26,4
77,26,41
78,27,2
79,27,3
80,27,4
81,28,6
82,28,7
83,28,8
84,29,35
85,29,36
86,30,8
87,30,9
88,30,51
89,30,52
90,31,51
91,31,52
92,32,66
93,32,67
94,32,68
95,33,71
96,33,72
97,33,73
98,34,2
99,34,3
100,34,4
101,35,6
102,35,7
103,35,35
104,35,36
105,36,50
106,36,51
107,36,52
108,37,6
109,37,7
110,37,8
111,38,54
112,38,55
113,38,56
114,39,24
115,39,25
116,40,66
117,40,67
118,40,68
119,41,54
120,41,55
