1,2,4,88,5
2,3,4,95,5
3,4,4,90,5
4,5,4,90,5
5,6,4,94,5
6,11,4,86,5
7,12,4,93,5
8,13,4,88,5
9,14,4,88,5
10,18,4,87,5
11,20,4,85,5
12,15,1,70,3
13,16,1,83,4
14,17,1,85,4
15,19,1,82,4
16,1,7,96,5
17,7,7,85,4
18,8,7,88,4
19,2,5,87,5
20,3,5,88,5
21,4,5,85,4
22,5,5,90,5
23,13,2,86,4
24,14,2,88,5
25,1,11,90,4
26,15,11,92,5
27,16,11,91,5
28,17,11,86,4
29,18,11,89,5
30,19,11,85,4
31,20,11,88,4
32,6,12,84,4
33,7,12,83,4
34,8,12,80,4
35,1,14,84,4
36,9,14,80,4
37,10,14,85,4
38,11,14,86,5
39,12,14,88,5
40,2,13,85,5
41,3,13,90,5
42,4,13,82,5
43,5,13,81,4
44,9,13,93,5
45,10,13,91,5
46,16,13,88,5
47,18,13,86,4
48,19,13,81,4
49,20,13,80,4
50,9,9,75,3
51,10,9,78,4
52,33,15,88,4
53,34,15,86,4
54,35,15,80,3
55,37,15,78,3
56,38,15,93,4
57,39,15,92,4
58,40,15,85,4
59,22,17,82,4
60,23,17,88,4
61,24,17,90,5
62,25,17,93,5
63,29,17,85,4
64,30,17,83,4
65,31,17,83,4
66,32,17,86,4
67,33,16,88,4
68,34,16,90,4
69,24,19,88,4
70,25,19,82,4
71,29,19,83,4
72,30,19,86,4
73,31,19,85,4
74,32,19,90,4
75,40,19,80,3
76,22,20,88,4
77,23,20,90,4
78,26,20,91,5
79,27,20,87,4
80,28,20,88,4
81,22,21,89,5
82,23,21,86,5
83,26,21,82,4
84,27,21,84,4
85,28,21,93,5
86,34,21,92,5
87,35,21,90,5
88,37,21,81,4
89,38,21,84,4
90,39,21,84,4
91,41,22,78,4
92,42,22,80,4
93,43,22,79,4
94,44,22,81,4
95,45,22,82,4
96,50,22,75,4
97,51,22,74,3
98,52,22,79,4
99,41,23,91,4
100,42,23,93,4
101,43,23,94,4
102,44,23,90,4
103,45,23,86,4
104,6,23,85,4
105,49,30,78,4
106,50,30,75,4
107,51,30,71,3
108,52,30,82,4
109,46,29,82,4
110,47,29,86,4
111,48,29,87,5
112,49,29,85,4
113,47,32,86,4
114,48,32,88,4
115,49,32,85,4
116,50,32,91,4
117,51,32,91,4
118,52,32,93,4
119,54,35,81,4
120,55,35,86,4
121,56,35,85,4
122,57,35,91,4
123,58,35,92,4
124,59,35,84,4
125,60,35,88,4
126,61,35,84,4
127,62,35,80,4
128,63,35,79,3
129,64,35,94,4
130,53,36,88,4
131,54,36,86,4
132,55,36,90,4
133,56,36,88,4
134,57,36,87,4
135,53,37,95,5
136,58,39,86,4
137,59,39,88,4
138,60,39,85,4
139,53,41,86,4
140,61,41,85,4
141,62,41,82,4
142,63,41,81,4
143,64,41,80,4
